NUTS3_ID,GDP_capita
AT111,24500
AT112,31500
AT211,39100
AT212,26800
AT213,30600
AT221,47700
AT113,25700
AT121,31800
AT122,29500
AT123,42600
AT124,28600
AT125,22400
AT126,27300
AT127,47000
AT130,49400
AT222,36300
AT223,36100
AT224,28700
AT312,51100
AT313,26900
AT314,43300
AT315,37600
AT321,33600
AT225,28100
AT226,29700
AT311,35100
BE211,46800
BE212,42000
BE213,42600
BE221,37900
BE222,25700
BE223,22300
AT322,42200
AT323,53000
AT331,46300
AT332,43300
AT333,32700
AT334,45800
AT335,44800
AT341,47700
AT342,43000
BE100,66900
BE231,24500
BE232,26800
BE233,27200
BE234,45600
BE235,30500
BE242,33500
BE251,37800
BE252,25800
BE253,34000
BE254,41300
BE255,29400
BE256,39300
BE257,39500
BE258,35500
BE310,43200
BE321,21100
BE322,26400
BE323,24000
BE324,31000
BE325,20300
BE326,16100
BE327,27600
BE236,34100
BE241,47600
BE331,23600
BE332,29400
BE334,17400
BE335,24800
BE336,26400
BE341,23100
BE342,21000
BE343,27900
BE344,26500
BE345,17800
BE351,21700
BE352,29000
BE353,17700
BG312,4000
BG313,5000
BG314,3700
BG315,4500
BG321,4400
BG322,5700
BG323,5400
BG324,4300
BG325,3100
BG311,3300
BG331,6700
BG332,4300
BG333,4100
BG334,4500
BG341,5900
BG342,3300
BG343,4400
BG344,8400
BG411,14700
BG412,6900
BG413,4200
BG414,3600
BG415,4000
BG421,5800
CH064,59654
BG422,3700
BG423,3900
BG424,4500
BG425,3500
CY000,22200
CZ010,34900
CZ020,15500
CZ031,13800
CZ032,15600
CZ041,11000
CZ042,12200
CZ071,13000
CZ080,13900
CZ051,12900
CZ052,14800
CZ053,13600
CZ072,14400
CZ063,13700
CZ064,16100
CH013,69272
CH011,50922
CH012,53516
CH022,74301
CH023,57183
CH024,61489
CH025,63292
CH031,152145
CH032,78898
CH033,137566
CH040,48057
CH051,65292
CH052,59477
CH053,88675
CH054,87033
CH055,55572
CH056,64176
CH057,55465
CH061,61915
CH062,53931
CH063,59473
CH021,77903
CH065,61362
CH066,48089
CH070,54419
DE11B,35100
DE11C,33900
DE11D,40200
DE121,51800
DE122,61300
DE123,35500
DE124,41600
DE125,52600
DE126,62800
DE127,30100
DE128,32500
DE129,40200
DE111,81400
DE112,65100
DE113,39100
DE114,33400
DE115,44200
DE116,33100
DE117,51300
DE118,47100
DE119,47000
DE11A,39400
DE94G,34900
DE94H,24700
DEA11,78000
DEA45,28800
DEA46,39700
DEA47,34700
DEA51,31800
DEA52,35900
DEA53,32600
DEA54,27700
DEA55,22700
DEB31,32300
DEB32,47800
DEB33,40900
DEB34,81800
DEB35,54800
DEB36,30000
DEB37,36600
DEB38,49900
DEB39,35700
DED2D,25000
DED2E,27100
DED2F,21800
DED41,33700
DED42,22100
DED43,26200
DED44,23900
DED45,29600
DED51,34800
DED52,25000
DED53,26200
DEE01,28600
DEE02,28700
DEE03,33000
DEE04,23100
DEE05,27100
DEE06,24000
DEE07,27800
DEE08,23900
DEE09,22600
DEE0A,19500
DEE0B,31900
DEE0C,24300
DEE0D,23600
DEE0E,25100
DEF01,41200
DEF02,44800
DEF03,37900
DEF04,38200
DEF05,30500
DEF06,21800
DEF0D,30300
DEF0E,31400
DEF0F,32800
DEF07,33900
DEF08,24800
DEF09,28100
DEG01,37900
DEG02,27200
DEG03,39900
DEG04,29800
DEG05,29900
DEG06,25200
DEG07,25500
DEG09,24100
DEF0A,19200
DEF0B,27700
DEF0C,25400
DEG0A,20800
DEG0B,26700
DEG0C,26700
DEG0D,23300
DEG0E,23700
DEG0F,28300
DEG0G,23700
DEG0H,27200
DEG0I,25700
DEG0J,21900
DEG0K,27600
DEG0L,22100
DEG0M,21500
DEG0N,40400
DEG0P,25500
DE928,24100
DE929,43400
DEA12,32900
DEA13,41300
DEA14,36800
DEA15,32600
DEA16,32500
DEA17,26900
DEA18,34400
DEA19,30800
DEA1A,36700
DEA1B,28800
DEA1C,38500
DEA56,29600
DEA57,34200
DEA58,35200
DEA59,38500
DEA5A,38300
DEB3A,45600
DEB3B,24400
DEB3C,22100
DEB3D,28700
DEB3E,38000
DEB3F,21500
DE931,28500
DEA1D,39800
DEA1E,27800
DEA1F,27300
DEA5B,33300
DEA5C,29200
DEB3G,16900
DEB3H,25300
DEB3I,18100
DEB3J,35000
DE932,21500
DE933,23400
DE934,24700
DE935,26600
DE936,19600
DEA22,69000
DEA23,58800
DEA24,46100
DEA26,27800
DEB3K,16000
DE937,31900
DE938,30900
DE939,29800
DE93A,26400
DEA27,34600
DEA28,26000
DEA29,24100
DEA2A,34700
DEA2B,25200
DEB11,69400
DEB12,25100
DEB13,26300
DEB14,29800
DEB15,29000
DEB16,29600
1-Dec,43700
2-Dec,24800
3-Dec,24500
4-Dec,32200
5-Dec,38500
6-Dec,24400
DE93B,29900
DE941,22300
DEA2C,27100
DEA2D,36400
DEA31,21300
DEA32,29000
DEB17,30300
DEB18,30100
DEB19,33700
DEB1A,24800
DE942,69200
DE943,44200
DE944,48100
DE945,39400
DE946,28000
DE947,25600
DE948,32800
DE949,39900
DEA33,54900
DEA34,35000
DEA35,27600
DEA36,24200
DEA37,30700
DEA38,30100
DEB1B,33700
DEB21,42100
DEB22,32400
DED21,37900
DED2C,24500
DE94A,26200
DE94B,30000
DE94C,25900
DE94D,22700
DE94E,29100
DE94F,43000
DEA41,37900
DEA42,45500
DEA43,32500
DEA44,26500
DEB23,27200
DEB24,31300
DEB25,20000
DE211,127000
DE22C,65800
DE231,52900
DE232,82800
DE259,30900
DE25A,27300
DE25B,27800
DE25C,29800
DE261,76000
DE262,98200
DE401,30300
DE402,33400
DE406,32600
DE407,23300
DE408,19700
DE409,20000
DE40A,25900
DE40B,25700
DE40C,24500
DE40D,25100
DE40E,24200
DE40F,24900
DE40G,31200
DE40H,34500
DE40I,28900
DE501,48900
DE502,34400
DE600,61700
DE711,74500
DE712,92100
DE713,36800
DE714,62200
DE715,29300
DE716,26800
DE717,44100
DE718,43800
DE719,33100
DE71A,52100
DE71B,26500
DE71C,41900
DE71D,24000
DE71E,28300
DE721,34200
DE722,32500
DE723,28600
DE724,35200
DE725,25900
DE731,49700
DE732,36100
DE733,33400
DE734,32600
DE735,29800
DE736,35100
DE737,24500
DE803,34400
DE804,37000
DE80L,22800
DE911,47200
DE80M,21700
DE80N,23200
DE80J,25200
DE80K,23400
DE913,176700
DE80O,22600
DE914,22000
DE915,27500
DE916,27500
DE917,20300
DE912,50000
DE91A,21200
DE91B,19900
DE918,28100
DE919,27500
DE922,30000
DE923,32900
DE925,27100
DE926,30400
DE927,29300
DE12A,27600
DE12B,29000
DE12C,37200
DE131,49100
DE132,28800
DE212,74900
DE213,50200
DE214,46900
DE215,31300
DE216,28000
DE217,27500
DE218,30900
DE233,54400
DE234,25800
DE235,34300
DE236,37000
DE263,59800
DE264,30700
DE265,31900
DE266,36500
DE267,30000
DE133,29500
DE219,32000
DE21A,30600
DE21B,45000
DE21C,25100
DE21D,28200
DE237,29400
DE238,24300
DE239,34800
DE268,33400
DE269,33100
DE26A,34300
DE26B,20600
DE134,38800
DE135,41400
DE136,37000
DE137,46000
DE138,33400
DE21E,32100
DE21F,33400
DE21G,32000
DE21H,104500
DE21I,34000
DE23A,33500
DE241,59600
DE242,62100
DE26C,27500
DE271,47800
DE272,36800
DE273,56200
DE274,58400
DE275,26100
DE276,28700
DE139,31800
DE13A,30100
DE21J,39600
DE21K,30500
DE21L,42000
DE21M,38600
DE243,89300
DE244,41200
DE245,24900
DE246,20500
DE247,26000
DE141,39100
DE142,33100
DE143,33200
DE144,74100
DE145,29500
DE21N,38100
DE221,55500
DE222,63900
DE248,26100
DE249,33400
DE24A,31200
DE24B,33300
DE24C,33700
DE277,32800
DE278,42000
DE279,36900
DE27A,36500
DE27B,33800
DE146,49400
DE147,49000
DE148,41100
DE149,34600
DE223,50100
DE224,37800
DE225,27800
DE226,31100
DE227,33800
DE24D,31700
DE251,56000
DE252,91500
DE253,33600
DE27C,36000
DE27D,48000
DE27E,30400
DE228,28300
DE229,30200
DE22A,30300
DE22B,26500
DE254,56200
DE255,34200
DE256,29300
DE257,35200
DE258,22200
DE300,37400
DE403,34500
DE404,39500
DE405,21300
EL522,14000
EL523,11400
EL524,11300
EL525,10800
EL631,11500
EL632,13000
EL651,15400
EL652,13500
EL653,12300
ES111,22500
ES112,22300
ES113,20200
ES220,29400
ES230,25600
ES114,20500
ES241,27600
ES120,20900
ES211,36000
ES212,30500
ES243,25900
ES213,29900
ES242,24000
ES130,21900
EL434,14000
EL526,9900
EL527,14200
EL633,10900
EL531,14600
EL532,10800
EL533,16800
EL611,10600
EL612,14400
EL621,18100
EL641,20800
EL541,11500
EL542,11800
EL543,12000
EL613,12700
EL642,13300
EL643,10200
EL511,12400
EL512,10000
EL644,13700
EL645,10500
EL513,10000
EL514,10500
EL515,13400
EL521,10800
EL622,15000
EL623,14500
EL624,12000
EL307,18400
EL301,25300
EL302,11400
EL303,32000
EL304,18300
EL305,18900
EL306,22900
EL413,12000
EL422,21700
EL411,12300
EL412,12400
EL421,15400
EL431,13500
EL432,15000
EL433,13400
DK050,41600
DK031,38300
EE001,24300
DK032,48900
DK011,69400
DK012,77200
DK013,40000
EE004,10700
DK014,35000
EE006,9000
EE007,8400
DK041,48200
EE008,11500
DK021,35200
DK022,33100
DK042,43900
FI1B1,52100
FI1C1,36300
FI1C2,32400
FI1C3,32200
FI1C5,36700
FI1D6,33200
FI1D5,34800
FI1C4,34600
FI1D7,36300
FI1D1,30700
FI200,47000
FI1D2,32700
FI1D3,30600
FI1D4,28800
FI195,38400
FI196,35300
FI197,36300
FI193,33000
FI194,30800
ES419,19500
ES512,27800
ES513,28200
ES532,27100
ES533,20000
ES618,18800
ES514,29000
ES521,18300
ES522,25000
ES531,23900
ES620,20000
ES523,22000
ES611,19100
ES612,16700
ES613,17100
ES614,17300
ES615,17700
ES616,16900
ES617,17200
ES411,18700
ES416,21900
ES431,16800
ES412,26800
ES432,17600
ES300,32800
ES413,19700
ES421,19100
ES414,25600
ES422,19800
ES415,19600
ES423,20800
ES417,24100
ES424,18200
ES418,24700
ES425,17400
ES511,28800
FR522,26900
FR523,33300
FR631,24800
FR632,19700
FR715,26900
FR716,44800
FR621,21500
FR633,27700
FR717,33500
FR718,29300
FR825,24000
FR832,24700
FR811,21600
FR813,27900
FR721,24000
FR831,29700
FR812,23100
FR814,23800
FR722,23100
FR723,21800
FR815,22400
ITG2A,16600
FR711,24600
FR724,29600
FR826,30300
FR712,21200
FR713,30400
FR821,24500
FR822,24900
FR714,31600
FR823,34200
FR824,33900
ITG2B,15100
FR512,26800
FR513,28200
FR524,25200
FR622,25500
FR514,28500
FR515,27000
FR623,40200
FR531,28200
FR611,22600
FR624,21500
FR625,24900
FR532,24400
FR612,32700
FR613,23900
FR626,24700
FR627,22100
FR533,28000
FR614,25000
FR628,21100
FR521,24700
FR534,27800
FR615,29800
FR221,22000
FR244,29200
FR245,24900
FR246,30900
FR251,29100
FR262,23000
FR264,23600
FR263,25400
FR301,29400
FR252,24200
FR302,22700
FR253,23600
FR411,26100
FR412,20900
FR413,24500
FR414,23800
FR421,32800
FR261,32700
FR433,19600
FR434,26500
FR422,27400
NL310,50400
FR511,34200
FR431,27300
FR432,24600
FR222,25300
FR101,97900
FR223,26200
FR211,22300
FR231,23000
FR232,31400
FR102,29900
FR103,40000
FR212,25100
FR213,32900
FR104,37900
FR105,104000
FR106,38600
FR107,42000
FR108,29000
FR214,24300
FR241,25200
FR242,25200
FR243,23000
IE021,81300
IS001,49985
IS002,49985
IE022,39000
ITC17,24900
ITC18,27000
ITC20,36300
ITC31,23500
ITC32,26900
ITC33,34000
ITC34,29400
ITC41,29000
ITC42,27800
ITC43,29700
ITC44,29000
ITC46,31900
ITC47,32300
ITC48,23700
ITC11,31200
ITC12,26600
ITC13,26200
ITC49,26300
ITC4A,29800
ITC4B,30200
ITF11,24200
ITF12,23000
ITC14,23500
ITC15,28600
ITC16,31100
ITF22,20000
ITC4C,53200
ITC4D,29900
ITF13,24300
ITF14,24900
ITF21,19400
IE011,21000
IE012,23000
IE023,29000
IE024,34400
IE013,30500
IE025,51100
HU101,23600
HU102,9500
HU211,12400
HU212,12200
HU213,8900
HU331,9100
HU332,7200
HU333,8700
HU221,15700
HU222,11600
HU223,9000
HU311,8300
HU312,8600
HU231,7600
HU232,7400
HU313,5100
HU321,8100
HU322,7700
HU233,8900
HU323,6600
NL211,37600
NL212,33000
NL421,38200
NL422,31700
NL423,37900
LV009,8000
NL213,33000
NL221,37000
NL224,35300
NL225,29300
NL226,35600
NL230,31100
MT001,23400
MT002,13400
NL321,28200
NL322,31400
NL323,32800
NL324,29600
